150 PA5-A-Debug-Output.txt 6
  112.7315    50.1884    56.7801    47.1960   -58.6505   -22.0449
  -33.72     1.33   -39.73          -33.72     1.33   -39.73     0.005
    4.20     6.64    69.55            4.20     6.64    69.55     0.009
    6.08    17.38    -8.66            6.08    17.37    -8.66     0.009
   11.58    19.17    54.03           11.59    19.19    54.03     0.014
   -6.51    15.24     8.10           -6.51    15.25     8.10     0.005
   22.81   -11.00    -7.10           22.81   -11.01    -7.09     0.023
   16.49   -10.90   -21.05           16.48   -10.92   -21.07     0.035
  -21.47   -31.28   -36.20          -21.47   -31.28   -36.20     0.008
   -6.83    11.97    40.02           -6.85    11.98    40.03     0.014
  -16.27   -30.19   -17.83          -16.27   -30.19   -17.83     0.003
   19.40    -4.15    41.06           19.40    -4.16    41.06     0.008
   32.48     9.85   -23.99           32.47     9.84   -23.98     0.016
    5.52    21.28    30.21            5.52    21.28    30.21     0.006
   37.04    -2.64     2.74           37.06    -2.65     2.74     0.026
  -26.86   -31.90   -28.24          -26.86   -31.90   -28.24     0.002
    8.66     7.77   -13.33            8.65     7.75   -13.31     0.023
   34.97    11.60   -11.43           34.95    11.65   -11.36     0.084
   11.68    -5.01    70.43           11.68    -5.01    70.43     0.001
    4.23    19.56     0.82            4.23    19.55     0.82     0.007
   35.96    -3.98     3.57           35.99    -4.02     3.57     0.044
    3.42    -3.54    44.24            3.42    -3.54    44.24     0.007
   -8.37     2.63    58.21           -8.36     2.65    58.21     0.020
   -7.21     8.44    62.04           -7.23     8.45    62.04     0.026
  -32.76     6.63   -32.26          -32.75     6.63   -32.26     0.007
    1.77    -4.85    33.84            1.77    -4.83    33.84     0.016
   35.69     7.76   -14.80           35.68     7.75   -14.79     0.014
    0.98    16.51     1.43            0.97    16.51     1.43     0.004
  -38.14    -3.19   -39.69          -38.14    -3.19   -39.69     0.001
   11.86    -6.03    69.56           11.85    -6.02    69.56     0.013
   18.99    -4.23    48.01           18.99    -4.24    48.01     0.007
  -14.05     8.70   -36.60          -14.05     8.69   -36.60     0.006
   -0.45   -13.59   -37.61           -0.46   -13.59   -37.61     0.004
   -8.95   -21.61   -10.90           -8.95   -21.61   -10.90     0.002
    9.10    17.07    67.74            9.11    17.08    67.75     0.013
   28.98     3.04   -31.96           28.98     3.04   -31.96     0.004
   20.14     2.21   -28.08           20.13     2.21   -28.09     0.016
  -25.34   -10.44    -7.01          -25.35   -10.44    -7.00     0.011
  -14.08     4.20     5.92          -14.09     4.20     5.92     0.010
  -11.67   -28.66   -19.14          -11.67   -28.66   -19.14     0.002
    0.53   -16.97   -29.73            0.53   -16.97   -29.73     0.005
   40.26     5.35    -0.47           40.29     5.33    -0.47     0.036
  -33.82     0.54   -40.52          -33.82     0.54   -40.52     0.003
    6.29     2.97   -18.78            6.28     2.96   -18.77     0.013
   21.44    22.56     7.04           21.43    22.54     7.04     0.026
   11.27    22.07    24.92           11.27    22.06    24.92     0.006
   10.94   -15.37    -8.16           10.94   -15.39    -8.16     0.029
    6.21    20.27    38.11            6.21    20.27    38.11     0.004
  -37.04    -0.84   -38.83          -37.04    -0.84   -38.83     0.002
   -9.48   -13.02    -2.02           -9.49   -13.02    -2.02     0.004
   10.12    21.06    -9.18           10.13    21.05    -9.18     0.019
  -28.39   -30.97   -33.01          -28.38   -30.96   -33.01     0.009
   -6.99   -15.30    -5.69           -6.99   -15.31    -5.69     0.003
    8.04    -4.63    52.09            8.04    -4.63    52.09     0.006
   -9.88   -18.58    -8.23           -9.88   -18.59    -8.22     0.006
  -44.47    -6.81   -36.84          -44.47    -6.81   -36.84     0.001
  -36.19    -0.18   -16.25          -36.19    -0.18   -16.25     0.001
   15.02    20.48    41.05           15.02    20.48    41.05     0.001
  -28.54   -13.15    -6.70          -28.54   -13.15    -6.70     0.005
   10.27   -12.71   -20.32           10.28   -12.72   -20.33     0.014
    1.26    14.88    -0.75            1.26    14.88    -0.75     0.001
   -4.91     4.23    70.21           -4.92     4.23    70.19     0.019
   -9.54     2.80    25.25           -9.55     2.80    25.25     0.009
   21.63    -2.78   -27.96           21.63    -2.78   -27.96     0.002
  -36.23   -21.51   -38.09          -36.22   -21.51   -38.09     0.006
   35.79     6.68     8.62           35.79     6.68     8.62     0.008
    2.12    18.10    48.83            2.12    18.12    48.83     0.023
   37.38    10.78     5.92           37.38    10.77     5.91     0.007
    7.82     6.78    68.96            7.82     6.78    68.94     0.013
   16.91    23.35   -10.37           16.91    23.33   -10.37     0.021
  -19.34    -7.95    -3.32          -19.35    -7.94    -3.31     0.014
   -4.25    11.44    68.20           -4.25    11.44    68.20     0.002
  -22.85   -24.93   -11.36          -22.85   -24.93   -11.36     0.000
    7.31    18.99    -8.15            7.32    18.98    -8.15     0.009
