400 PA5-J-Unknown-Output.txt 6
   -5.2233  -144.3944   -56.9463  -132.4624    15.9336  -108.1303
   -3.49     3.83   -29.10           -3.48     3.84   -29.11     0.009
   19.04   -19.77   -13.91           19.11   -19.63   -13.84     0.173
   39.51     0.74    -1.34           39.46     0.79    -1.36     0.067
   31.35     8.54    12.41           31.32     8.56    12.37     0.052
   -9.48    14.94    12.39           -9.47    14.94    12.42     0.027
   22.17    28.96     7.86           22.18    28.98     7.88     0.024
  -37.41   -23.90   -35.70          -37.32   -23.82   -35.64     0.141
  -11.71    -4.17     5.68          -11.72    -4.18     5.69     0.016
    1.19    -4.46    61.62            1.19    -4.46    61.63     0.009
  -17.66   -34.15   -24.55          -17.64   -34.21   -24.56     0.066
  -42.34    -6.35   -35.92          -42.44    -6.33   -35.93     0.100
    8.12   -17.97    -1.47            8.15   -17.92    -1.48     0.060
   25.71    -9.86    -2.39           25.62    -9.83    -2.43     0.102
    6.42    14.08    -3.84            6.40    14.13    -3.87     0.067
   -3.93    -5.11    23.95           -4.07    -5.19    23.96     0.161
    8.01    -8.47    43.48            7.94    -8.34    43.47     0.147
   -8.79     5.82    59.74           -8.79     5.82    59.73     0.017
   11.16   -19.57    -5.50           11.15   -19.58    -5.50     0.014
   25.82   -16.71    -4.07           25.77   -16.71    -4.12     0.074
   23.06    19.92    22.82           23.00    19.90    22.80     0.066
   14.33   -14.89     5.90           14.32   -14.89     5.90     0.002
   -9.17    11.22    39.13           -9.17    11.22    39.13     0.004
  -40.46   -12.51    -3.65          -40.49   -12.53    -3.61     0.050
    0.90   -21.62    -5.68            0.89   -21.61    -5.72     0.046
   19.26   -10.19     7.52           19.23   -10.18     7.50     0.031
  -43.69    -7.15    -9.44          -43.85    -7.14    -9.40     0.174
   -4.19    -6.61   -33.40           -4.20    -6.63   -33.42     0.037
   -7.38   -28.26   -29.15           -7.44   -28.22   -29.13     0.065
   12.26    25.99    -4.26           12.31    25.97    -4.22     0.065
    4.03    -9.58    35.65            4.02    -9.40    35.64     0.180
    7.02    -9.11    44.77            6.93    -8.81    44.76     0.319
  -40.94   -19.35   -34.37          -40.90   -19.32   -34.36     0.044
   16.77     6.23    46.67           16.94     6.23    46.68     0.168
    7.48   -19.76   -16.23            7.49   -19.77   -16.23     0.009
   -1.10    17.43    40.04           -1.09    17.40    40.02     0.040
   23.81    19.11   -33.73           23.82    19.11   -33.76     0.030
    1.40     2.99    60.38            1.33     2.95    60.40     0.076
   11.74    -6.53    38.25           11.61    -6.33    38.25     0.237
   16.36     3.18    49.87           16.35     3.19    49.87     0.018
   13.02    29.53     3.34           12.92    29.64     3.31     0.152
  -25.19    -8.77   -48.47          -25.19    -8.78   -48.46     0.018
   21.66     8.61   -28.12           21.66     8.61   -28.12     0.000
   29.52    21.54   -29.52           29.50    21.54   -29.46     0.066
  -16.44    18.45    30.44          -16.46    18.46    30.45     0.031
  -12.16    12.11    33.89          -12.09    12.15    33.83     0.106
   10.90    -6.66    38.33           10.95    -6.74    38.33     0.094
   26.29   -10.83    -3.76           26.17   -10.83    -3.83     0.144
  -42.84   -11.33   -20.95          -42.82   -11.33   -20.95     0.025
   39.51    11.67   -24.73           39.62    11.69   -24.78     0.123
   -4.20   -21.63    -3.59           -4.22   -21.61    -3.63     0.059
   14.54    25.09    20.45           14.53    24.95    20.40     0.148
  -33.31     6.52   -37.41          -33.33     6.56   -37.45     0.059
  -15.03    -2.55     3.05          -14.92    -2.55     2.99     0.123
  -31.56    12.36   -17.63          -31.51    12.28   -17.64     0.093
  -13.98    13.65   -35.95          -13.99    13.60   -35.92     0.055
   18.70    30.05   -14.63           18.72    30.01   -14.63     0.048
    3.31     7.99   -21.22            3.35     8.02   -21.26     0.067
    2.45   -10.60    56.72            2.45   -10.61    56.72     0.003
   18.48    19.41    35.31           18.54    19.41    35.33     0.058
  -13.00   -30.93   -33.66          -12.99   -30.83   -33.60     0.125
   34.05    24.46   -21.97           34.05    24.46   -21.97     0.004
   22.70    29.60     5.62           22.74    29.68     5.65     0.099
   -1.96    19.77    10.23           -1.97    19.78    10.22     0.016
   -5.01    22.55    32.69           -5.01    22.55    32.69     0.003
   11.54    14.79    54.12           11.65    14.85    54.17     0.140
   14.65    23.64    24.30           14.63    23.52    24.17     0.178
  -14.80   -18.07   -45.72          -14.80   -18.06   -45.69     0.027
    3.22    21.77    23.70            3.20    21.85    23.70     0.090
    7.90    21.43    28.51            7.91    21.46    28.52     0.030
   42.26     9.23    -8.65           42.38     9.24    -8.64     0.125
  -36.19   -28.88   -14.12          -36.17   -28.87   -14.13     0.019
   13.81    14.94    48.86           13.95    14.99    48.92     0.155
    1.98    -5.39   -28.05            1.93    -5.39   -28.01     0.067
   16.27    -6.89    15.24           16.26    -6.88    15.24     0.012
   -2.76    16.72    10.81           -2.75    16.72    10.81     0.009
    6.26    21.01    29.02            6.28    20.97    29.00     0.044
    6.78    13.46    -5.80            6.76    13.55    -5.81     0.096
   21.05    31.19   -20.93           21.01    31.39   -20.90     0.209
    3.65     5.20    62.50            3.68     5.18    62.52     0.038
   39.24    18.83   -19.75           39.14    18.76   -19.72     0.116
  -10.06     0.63    52.92          -10.18     0.63    52.90     0.114
   -7.12     8.45     3.65           -7.17     8.52     3.64     0.082
  -20.23   -33.72   -12.84          -20.20   -33.84   -12.82     0.121
  -15.96   -33.35   -29.44          -15.97   -33.31   -29.44     0.037
   -7.08    10.45    54.72           -7.20    10.57    54.72     0.167
   -3.49   -24.21   -29.11           -3.44   -24.30   -29.15     0.106
   17.16    18.34    39.47           17.14    18.34    39.46     0.025
   -7.42     9.47    -9.22           -7.42     9.47    -9.22     0.004
  -12.08   -32.03   -29.34          -12.09   -32.00   -29.34     0.031
   11.68    -8.86    20.72           11.66    -8.84    20.70     0.041
    8.89    -1.66    60.30            8.89    -1.66    60.28     0.028
  -44.01    -3.74   -12.18          -44.07    -3.73   -12.17     0.066
  -17.22   -23.18   -43.90          -17.23   -23.16   -43.87     0.045
    6.92   -19.57    -9.07            6.97   -19.61    -9.06     0.064
   12.51    28.47     0.69           12.50    28.49     0.68     0.024
   19.52    28.94   -32.24           19.54    28.87   -32.14     0.125
  -11.28     9.17    17.36          -11.40     9.10    17.28     0.156
   19.30    26.59   -34.59           19.31    26.63   -34.63     0.070
   -7.57   -22.18    -3.51           -7.57   -22.15    -3.54     0.042
    2.49   -18.79    -3.77            2.51   -18.92    -3.69     0.155
  -22.13   -11.77   -48.59          -22.12   -11.77   -48.59     0.008
  -13.89     9.35    29.68          -13.89     9.35    29.68     0.003
  -43.78   -11.92   -26.37          -43.81   -11.92   -26.36     0.027
   13.40    20.56    44.24           13.46    20.68    44.25     0.139
  -35.58     7.29   -35.26          -35.56     7.27   -35.26     0.032
  -22.08   -10.55    -0.28          -22.08   -10.56    -0.33     0.054
   13.50    22.78    27.21           13.53    22.68    27.19     0.107
  -42.98    -8.40    -7.41          -42.95    -8.40    -7.43     0.042
   28.52    10.93   -33.05           28.52    10.92   -33.00     0.051
   20.11     3.29    28.65           20.25     3.25    28.69     0.152
   -9.35     5.21    59.75           -9.36     5.23    59.78     0.032
   -9.52     7.62    52.26           -9.44     7.56    52.27     0.096
   18.00    29.59   -14.16           18.02    29.56   -14.16     0.034
   36.36     5.37     7.35           36.48     5.32     7.44     0.160
    5.52    16.86    54.62            5.35    17.05    54.64     0.256
  -29.80    14.86   -26.81          -29.73    14.79   -26.81     0.103
    2.29    -0.31   -25.86            2.30    -0.31   -25.88     0.013
   37.66     5.57     6.00           37.76     5.50     6.10     0.166
   -2.77   -19.19   -33.32           -2.80   -19.18   -33.30     0.040
   -7.81   -18.31    -1.78           -7.78   -18.23    -1.84     0.104
   -9.20     0.51    60.34           -9.21     0.51    60.35     0.009
    0.61    -2.13   -28.05            0.68    -2.07   -28.10     0.102
  -34.14   -15.15   -44.83          -34.13   -15.13   -44.81     0.029
  -23.94    -2.86   -46.99          -23.94    -2.86   -46.97     0.022
   11.18    -5.54   -23.88           11.17    -5.56   -23.90     0.028
    6.85    13.39    -7.70            6.88    13.31    -7.69     0.082
   -8.73     1.72    25.87           -8.82     1.68    25.89     0.103
   15.22     7.92    57.36           15.04     7.87    57.33     0.194
   -9.17     7.11    -1.32           -9.11     7.01    -1.34     0.117
  -32.78   -21.57    -1.57          -32.78   -21.57    -1.57     0.007
   -9.56     3.26    39.43           -9.72     3.21    39.43     0.171
    8.75   -11.40    19.71            8.74   -11.39    19.69     0.020
   29.23    28.01   -23.70           29.21    28.00   -23.69     0.021
  -19.63    -5.47    -0.26          -19.68    -5.46    -0.17     0.102
   17.44     2.92    41.66           17.21     2.97    41.61     0.231
   -5.97    23.44    30.93           -5.99    23.51    30.93     0.069
   34.89    23.65   -10.95           34.83    23.61   -10.96     0.076
  -27.05   -34.70   -24.00          -27.06   -34.73   -24.00     0.031
   -3.05   -20.06   -33.26           -3.08   -20.04   -33.23     0.047
   28.65    -9.94    -7.19           28.66    -9.95    -7.18     0.019
   14.75    -2.85    41.74           14.81    -2.88    41.75     0.074
  -24.62   -29.33    -6.81          -24.63   -29.39    -6.77     0.070
  -14.12   -26.93   -39.83          -14.12   -26.91   -39.82     0.018
   -7.21    10.52   -10.70           -7.21    10.56   -10.68     0.052
  -36.72    -7.92   -44.84          -36.76    -7.90   -44.90     0.079
  -14.39     1.80   -44.11          -14.36     1.86   -44.20     0.106
    0.33   -10.40    57.61            0.32   -10.50    57.60     0.107
    7.49    13.79    -5.47            7.49    13.79    -5.47     0.006
   26.36    26.09   -30.05           26.31    26.03   -29.99     0.095
   42.38     9.71   -13.82           42.35     9.71   -13.82     0.030
  -29.60     0.01    -4.27          -29.56     0.08    -4.15     0.135
   -9.25    -4.46    58.31           -9.17    -4.38    58.33     0.109
    3.27    21.38    26.49            3.27    21.45    26.51     0.077
   18.10     0.76   -26.90           18.11     0.77   -26.87     0.031
   -3.41    15.49    10.26           -3.40    15.49    10.27     0.010
   37.12    21.51   -13.97           37.15    21.53   -13.96     0.040
    2.15   -11.18    12.16            2.15   -11.16    12.16     0.024
   21.42    12.69    28.06           21.45    12.69    28.07     0.034
   16.52    15.40   -12.78           16.53    15.38   -12.77     0.024
  -30.43   -19.24   -46.01          -30.42   -19.20   -45.96     0.068
   -9.74     5.83    41.86           -9.84     5.85    41.88     0.102
    7.35    22.74    24.70            7.36    22.71    24.69     0.035
   30.87    26.21    -1.24           30.88    26.22    -1.23     0.013
  -10.23    23.91    24.54          -10.23    23.95    24.54     0.034
   37.18    -2.39   -13.67           37.15    -2.34   -13.67     0.055
    8.73    12.54   -12.74            8.72    12.60   -12.76     0.066
   38.05    -1.62   -11.36           38.05    -1.62   -11.36     0.002
  -43.02   -15.95   -20.93          -42.90   -15.94   -20.93     0.121
   18.76     7.03    36.15           18.80     7.03    36.16     0.045
   11.69    26.63    13.73           11.72    26.43    13.69     0.201
   16.87   -19.22   -12.29           16.82   -19.30   -12.34     0.114
   30.32    27.45   -10.18           30.33    27.47   -10.18     0.021
   29.00    -6.55   -27.45           28.94    -6.49   -27.39     0.101
   18.28     6.86    38.99           18.22     6.87    38.98     0.061
  -42.89   -16.56   -25.26          -42.91   -16.56   -25.26     0.021
   36.02     3.11     6.68           36.00     3.11     6.66     0.023
    9.44   -18.96    -3.91            9.44   -18.96    -3.91     0.001
   -8.12    13.29   -18.62           -8.10    13.32   -18.62     0.030
    3.40     7.74   -21.64            3.33     7.68   -21.57     0.112
  -13.13   -16.58   -45.32          -13.12   -16.58   -45.33     0.015
  -22.23   -16.54     0.05          -22.23   -16.53    -0.01     0.052
  -15.16    12.77   -36.01          -15.19    12.78   -36.04     0.039
  -13.78     1.50   -44.18          -13.77     1.51   -44.21     0.033
  -14.57   -22.49    -2.66          -14.60   -22.45    -2.74     0.090
  -39.07   -24.11   -28.91          -39.06   -24.11   -28.91     0.004
  -20.82    -8.98    -0.40          -20.84    -8.97    -0.50     0.100
  -34.20     9.62   -10.75          -34.20     9.63   -10.74     0.016
  -10.78     3.76    54.27          -10.60     3.77    54.26     0.184
   26.13    -4.51     4.16           26.13    -4.56     4.17     0.054
    3.04     0.34   -25.45            3.03     0.33   -25.44     0.014
  -42.39    -6.37   -36.09          -42.44    -6.36   -36.09     0.051
    1.50    -9.88    25.73            1.50    -9.66    25.72     0.226
  -36.49   -19.10   -41.03          -36.49   -19.10   -41.03     0.001
   16.23     8.86    49.48           16.23     8.86    49.48     0.000
    3.46    22.07    23.14            3.48    21.95    23.13     0.130
    8.42    23.48    22.79            8.38    23.58    22.81     0.106
    1.65   -11.49    15.82            1.62   -11.53    15.81     0.046
   14.12    -9.76    15.82           14.10    -9.74    15.80     0.032
    0.97    -9.06    43.43            1.00    -8.97    43.44     0.102
   10.86    20.38    51.17           11.06    20.42    51.22     0.206
    5.54    17.47    47.78            5.54    17.48    47.78     0.007
   14.68    -8.19    15.88           14.67    -8.18    15.88     0.022
   15.78    24.46    21.40           15.77    24.41    21.37     0.061
   11.58    17.61    52.34           11.57    17.32    51.97     0.470
  -44.02    -5.01   -12.03          -44.10    -5.02   -12.04     0.080
    5.85    18.59     1.04            5.90    18.56     1.07     0.062
   -9.80    -0.28    51.56           -9.87    -0.31    51.55     0.079
    2.53    13.45    -1.26            2.52    13.46    -1.27     0.018
   37.65     6.50     6.85           37.68     6.48     6.88     0.047
   -6.15     2.24   -33.83           -6.22     2.12   -33.71     0.192
  -17.17   -18.54    -0.87          -17.20   -18.57    -0.97     0.100
   22.22    19.30    24.92           22.14    19.27    24.87     0.099
  -18.67   -32.73   -10.75          -18.67   -32.75   -10.74     0.021
   -3.63   -23.85    -2.33           -3.62   -23.83    -2.31     0.036
   -8.82   -29.78    -9.51           -8.81   -29.81    -9.50     0.031
   17.30    15.43    39.17           17.35    15.43    39.19     0.045
   26.65    17.68    18.51           26.58    17.66    18.45     0.092
   15.27    29.41    -7.15           15.33    29.37    -7.14     0.074
   -2.37    13.68    51.45           -2.34    13.62    51.44     0.068
   10.38   -12.31    16.75           10.37   -12.30    16.74     0.024
  -24.72    -1.34   -46.52          -24.72    -1.34   -46.52     0.006
  -13.15    12.78   -15.64          -13.15    12.85   -15.61     0.074
   16.78   -10.86    10.50           16.67   -10.80    10.44     0.145
   36.21    -2.96   -11.83           36.15    -2.90   -11.83     0.080
   -7.17    23.14    30.57           -7.18    23.20    30.57     0.059
   22.27    24.56    16.92           22.23    24.48    16.88     0.096
   25.64   -14.95    -3.89           25.69   -14.96    -3.85     0.065
    2.66   -22.41   -30.54            2.66   -22.40   -30.54     0.017
  -28.19   -27.54    -3.60          -28.19   -27.53    -3.62     0.024
   -5.36    23.77    27.47           -5.36    23.78    27.47     0.008
  -19.35    -0.73    -0.90          -19.33    -0.73    -0.93     0.030
  -14.58    20.97    15.10          -14.54    20.90    15.16     0.097
  -10.45     5.98    14.53          -10.35     5.97    14.53     0.103
   18.48    21.04    34.41           18.43    21.02    34.40     0.047
    2.93   -10.60    58.11            2.90   -10.83    58.08     0.234
   -6.01   -17.19    -0.76           -6.01   -17.18    -0.78     0.024
  -36.89   -12.75   -44.66          -36.90   -12.76   -44.70     0.040
    2.60    11.24   -16.30            2.60    11.27   -16.30     0.031
  -21.97   -13.19     0.19          -21.97   -13.19     0.19     0.000
   -8.60   -19.58    -3.34           -8.58   -19.57    -3.39     0.055
   15.78     4.45    58.27           15.75     4.45    58.26     0.025
   -4.43    -5.34    29.01           -4.24    -5.20    29.02     0.229
   31.63   -10.00   -12.67           31.86   -10.25   -12.71     0.342
  -33.22   -27.34   -35.92          -33.24   -27.36   -35.94     0.032
   -1.86   -10.21    10.68           -1.96   -10.35    10.80     0.209
   10.43    27.48     4.61           10.36    27.54     4.58     0.092
   13.14    29.33     7.01           13.15    29.31     7.01     0.030
   -9.52     2.67    35.22           -9.35     2.70    35.24     0.175
   -2.60    -8.43    50.55           -2.60    -8.44    50.54     0.016
  -26.48   -20.71    -0.31          -26.48   -20.70    -0.35     0.041
   -1.74   -25.70    -8.09           -1.73   -25.77    -8.08     0.078
   37.39    21.74   -15.37           37.43    21.78   -15.38     0.052
    0.51    -0.50   -26.79            0.59    -0.49   -26.86     0.102
  -29.28   -27.47   -38.91          -29.26   -27.44   -38.88     0.046
  -27.44   -20.91   -45.63          -27.44   -20.91   -45.64     0.008
  -11.53   -23.83    -3.78          -11.54   -23.85    -3.72     0.069
  -20.95    -3.48    -0.96          -20.92    -3.51    -1.03     0.080
  -10.14    14.80   -24.98          -10.27    14.73   -24.94     0.148
   15.73    28.19    10.99           15.72    28.24    11.02     0.058
  -24.58     9.43   -11.44          -24.58     9.44   -11.43     0.015
    7.76   -14.60    12.64            7.75   -14.69    12.68     0.093
   -9.59    -0.43    16.91           -9.57    -0.42    16.91     0.016
   12.54   -16.97     3.17           12.53   -16.93     3.15     0.045
   -0.78    17.81     6.47           -0.75    17.76     6.49     0.057
  -11.65   -18.64    -1.69          -11.64   -18.66    -1.67     0.029
   21.01    -8.57   -24.66           21.08    -8.52   -24.60     0.108
   -5.40   -28.96   -20.83           -5.42   -28.93   -20.83     0.040
  -15.12    13.06    16.42          -15.08    13.12    16.46     0.080
    9.64    15.25    -5.36            9.70    15.24    -5.31     0.076
  -26.53     2.28   -43.98          -26.54     2.29   -43.99     0.018
  -19.01   -30.33   -36.44          -18.94   -30.50   -36.53     0.205
   33.59    20.73     3.37           33.62    20.75     3.38     0.040
   22.60    31.68   -24.04           22.59    31.74   -24.04     0.063
   21.91    28.06   -31.87           21.87    28.02   -31.83     0.072
  -39.58   -12.83   -42.41          -39.62   -12.85   -42.45     0.064
    2.81    16.40    43.43            2.81    16.39    43.42     0.016
   -2.98    -7.50    61.59           -2.98    -7.50    61.62     0.027
   -6.90    -1.88    28.00           -6.85    -1.82    27.99     0.081
   -7.58     7.95    59.87           -7.58     7.95    59.88     0.004
  -24.89   -31.53   -35.09          -24.89   -31.46   -35.03     0.088
    0.00    -8.97    61.21            0.00    -8.97    61.23     0.013
  -25.55   -11.10     0.01          -25.54   -11.09     0.07     0.060
  -21.20    17.33   -17.06          -21.21    17.35   -17.02     0.048
    7.56   -16.49     1.26            7.57   -16.48     1.25     0.014
    8.35     9.60    61.77            8.35     9.59    61.74     0.039
   37.65    14.95   -26.78           37.69    14.96   -26.79     0.044
  -35.80   -27.37   -11.49          -35.79   -27.35   -11.50     0.025
    2.46   -22.58    -7.04            2.45   -22.55    -7.04     0.036
   12.01    -1.92    59.37           11.97    -1.88    59.32     0.072
   17.17     1.58   -27.10           17.17     1.60   -27.04     0.060
    9.36   -16.67   -19.64            9.27   -16.63   -19.59     0.116
    0.93    10.07    61.58            0.93    10.07    61.57     0.007
  -15.92   -33.24   -29.57          -15.91   -33.28   -29.57     0.040
    6.36    23.78    15.50            6.33    23.84    15.51     0.068
  -23.11   -35.28   -25.68          -23.11   -35.26   -25.68     0.020
    9.80    -7.07   -23.56            9.75    -7.04   -23.49     0.089
   17.96    -4.03    20.69           17.98    -4.06    20.70     0.038
  -42.45    -7.11   -38.46          -42.33    -7.14   -38.40     0.145
   -1.53    21.69    29.52           -1.51    21.74    29.54     0.055
    4.81   -20.28   -26.43            4.83   -20.29   -26.43     0.028
  -17.00    -1.82     1.18          -17.01    -1.82     1.19     0.015
  -43.47     0.23   -23.59          -43.43     0.23   -23.59     0.035
  -33.19   -24.04   -39.34          -33.19   -24.04   -39.34     0.003
  -10.69     4.92    58.66          -10.53     4.89    58.65     0.162
    7.90    -0.63    60.58            7.90    -0.63    60.54     0.038
  -26.48   -30.43    -8.48          -26.48   -30.48    -8.45     0.057
   27.86    -6.70    -2.51           27.85    -6.68    -2.52     0.020
  -13.29    16.30    34.58          -13.31    16.31    34.60     0.025
    6.99    -8.75    45.29            6.99    -8.77    45.29     0.014
  -19.23   -22.63    -1.90          -19.22   -22.65    -1.86     0.045
  -11.20    10.88    34.47          -11.22    10.89    34.50     0.037
   -7.23    11.08    42.88           -7.26    11.10    42.90     0.036
  -41.65     3.42   -27.08          -41.70     3.45   -27.09     0.058
    1.72   -26.32   -15.72            1.74   -26.34   -15.72     0.027
  -11.60   -32.37   -24.37          -11.64   -32.32   -24.37     0.062
   -2.42    -7.53   -32.41           -2.41    -7.56   -32.47     0.066
  -32.44    11.39   -14.71          -32.42    11.37   -14.71     0.027
    2.82    19.54    31.09            2.82    19.54    31.09     0.003
   17.95    23.12    23.65           17.96    23.18    23.68     0.068
   -3.04    11.30   -17.83           -3.04    11.26   -17.82     0.038
   41.07     6.00   -22.44           41.14     5.98   -22.46     0.076
   -4.83    -4.84    17.80           -4.84    -4.94    18.06     0.282
   -3.14    17.76     8.73           -3.14    17.75     8.73     0.008
   -5.78    20.91    11.72           -5.77    20.90    11.73     0.019
  -16.13   -33.90   -20.29          -16.14   -33.89   -20.29     0.007
  -11.55   -14.25   -44.93          -11.55   -14.25   -44.93     0.002
   -9.62    10.41   -31.34           -9.71    10.37   -31.32     0.099
  -18.33    -2.87   -47.16          -18.31    -2.85   -47.21     0.063
  -34.99    -3.22    -2.55          -35.03    -3.19    -2.49     0.073
  -42.03    -4.45    -6.01          -42.01    -4.45    -6.02     0.024
    1.14   -18.66   -32.75            1.10   -18.67   -32.79     0.058
   31.54    26.55   -12.77           31.65    26.68   -12.77     0.165
  -40.17    -6.28   -41.61          -40.21    -6.28   -41.63     0.042
