400 PA5-F-Debug-Output.txt 6
 -107.1716    15.4105   -60.8640  -142.7225   -72.1615   -49.8881
  -43.99    -6.40   -15.27          -43.92    -6.40   -15.29     0.069
  -33.26   -20.83   -45.50          -33.24   -20.81   -45.49     0.036
   -6.91    10.88   -15.46           -6.91    10.79   -15.47     0.088
   33.95    10.55   -22.85           33.89    10.55   -22.83     0.060
  -13.79   -25.03   -46.52          -13.79   -25.04   -46.53     0.012
    1.02    28.64    18.77            0.96    28.50    18.79     0.149
   12.38    -6.45    40.63           12.37    -6.52    40.88     0.267
   23.00    17.91   -26.25           23.05    17.94   -26.33     0.099
   36.79     2.87    -8.44           36.77     2.88    -8.44     0.027
  -43.22    -4.34   -27.58          -43.19    -4.34   -27.57     0.036
   24.04     1.78    17.38           24.00     1.81    17.36     0.055
   -4.00     7.58    52.83           -4.09     7.60    52.84     0.094
  -29.21   -18.73   -49.41          -29.19   -18.71   -49.37     0.041
  -38.30    -3.51   -41.74          -38.27    -3.52   -41.73     0.035
  -15.18   -34.24   -19.81          -15.18   -34.26   -19.81     0.018
   -7.06    -2.57    16.22           -6.95    -2.54    16.19     0.119
  -16.06    16.41   -28.27          -16.07    16.26   -28.25     0.155
   -0.20    -7.90    34.72           -0.23    -7.97    34.71     0.083
  -33.98     1.68   -11.58          -33.98     1.64   -11.61     0.045
  -11.94   -22.80    -7.84          -11.94   -22.80    -7.86     0.020
   18.72    12.33   -29.10           18.72    12.33   -29.10     0.001
   16.94    18.74    45.74           16.95    18.74    45.74     0.008
   -4.01    10.65    37.21           -3.95    10.66    37.22     0.053
   14.59    12.23   -13.47           14.39    12.28   -13.47     0.201
  -40.36   -15.98   -10.03          -40.40   -15.99   -10.00     0.053
   33.12     5.95   -25.00           33.13     5.95   -25.01     0.006
   -1.61    -9.46    56.00           -1.40    -9.20    56.03     0.341
    1.96   -25.58   -16.10            1.93   -25.55   -16.11     0.047
   14.17    -2.05   -24.25           14.16    -2.05   -24.26     0.010
  -30.97   -34.53   -23.25          -30.91   -34.39   -23.28     0.156
  -12.84     2.05     2.26          -12.84     2.05     2.26     0.001
    3.67    -9.14    38.67            3.69    -9.01    38.67     0.131
  -41.25     1.36   -30.96          -41.19     1.32   -30.95     0.072
   -5.62    19.57    17.55           -5.53    19.59    17.61     0.109
   25.42    -8.67     1.52           25.44    -8.70     1.54     0.034
    2.19     0.24   -23.76            2.13     0.25   -23.70     0.088
    5.56    16.11     0.10            5.56    16.10     0.10     0.005
   17.42    12.47    50.33           17.51    12.51    50.35     0.105
   14.12     3.21   -23.62           14.09     3.22   -23.66     0.049
   15.93     2.09   -25.30           15.90     2.10   -25.34     0.049
    0.49    -8.82   -26.31            0.51    -8.82   -26.33     0.031
  -12.75   -28.55   -10.57          -12.72   -28.59   -10.55     0.054
  -29.41    12.44   -33.45          -29.44    12.49   -33.47     0.065
  -24.52    -7.53    -4.53          -24.52    -7.52    -4.48     0.050
  -33.51   -21.09    -7.24          -33.46   -21.06    -7.32     0.098
    8.36    24.31     4.13            8.37    24.30     4.13     0.017
  -26.81     8.41   -16.73          -26.81     8.44   -16.71     0.044
   -8.88   -32.64   -27.16           -8.99   -32.46   -27.14     0.209
   30.70    19.87    -7.08           30.72    19.88    -7.07     0.020
   35.87    10.77    -6.72           35.85    10.75    -6.73     0.031
   -6.12    23.66    17.49           -6.20    23.64    17.40     0.120
   35.28    -0.74    -0.51           35.26    -0.71    -0.52     0.038
    4.47   -20.12    -6.00            4.46   -20.12    -6.02     0.018
   24.84   -11.89    -2.30           24.84   -11.88    -2.31     0.012
   -2.81   -12.74   -34.11           -2.77   -12.72   -34.11     0.043
   -0.87    14.90    52.46           -0.91    14.96    52.48     0.077
   14.72    29.74   -12.52           14.69    29.81   -12.52     0.083
  -26.29     9.20   -40.46          -26.29     9.20   -40.46     0.005
    1.44    11.31   -10.72            1.44    11.39   -10.73     0.086
   -8.57   -27.37    -9.75           -8.57   -27.38    -9.75     0.008
   11.05    -7.20    45.87           11.08    -7.28    45.86     0.084
   36.75     3.10   -10.41           36.74     3.10   -10.41     0.010
  -12.72   -23.42   -47.68          -12.72   -23.45   -47.68     0.028
   23.92    27.27     0.88           23.97    27.35     0.88     0.094
    9.56    21.58     0.22            9.55    21.58     0.21     0.004
   12.81    -6.19    42.43           12.76    -6.15    42.42     0.066
   -1.85    -4.63    28.21           -1.84    -4.62    28.21     0.011
   34.12    -1.33     1.17           34.06    -1.28     1.16     0.084
  -16.12    -3.98   -51.93          -16.16    -4.03   -51.86     0.097
    0.24    -9.02    21.09            0.26    -8.99    21.08     0.036
    0.04    14.69     6.22            0.04    14.69     6.21     0.003
  -20.96     4.84   -45.76          -20.96     4.83   -45.75     0.014
   18.04    11.63    49.81           17.98    11.61    49.80     0.062
    8.14    26.02    29.24            8.14    26.01    29.23     0.015
    1.95    -2.56   -24.35            1.96    -2.56   -24.36     0.008
   29.30     0.29    10.13           29.31     0.28    10.14     0.018
  -29.68    12.56   -25.53          -29.65    12.48   -25.55     0.078
   -9.81   -32.69   -32.31           -9.83   -32.63   -32.31     0.065
    1.43    27.86    16.80            1.50    28.04    16.78     0.190
    8.57    24.72    32.49            8.55    24.78    32.51     0.059
   23.96    14.74    25.29           23.98    14.74    25.30     0.016
   10.21    -9.25    22.40           10.22    -9.26    22.40     0.020
  -20.41   -35.92   -31.86          -20.40   -36.07   -31.87     0.156
    3.84     6.35    58.88            3.88     6.39    58.79     0.104
  -37.13   -15.39   -44.94          -37.21   -15.44   -45.00     0.104
    9.41     3.49    57.72            9.40     3.50    57.69     0.040
    8.37    -3.33   -22.02            8.38    -3.33   -22.12     0.108
   -4.32    -0.94    44.98           -4.27    -0.94    44.99     0.054
   12.95    -9.13    14.61           13.02    -9.22    14.63     0.120
   10.67    21.19    46.95           10.63    21.28    46.96     0.099
    6.10    -9.04    35.46            6.10    -9.05    35.47     0.009
  -42.32   -12.11   -28.78          -42.32   -12.11   -28.78     0.004
   30.94    12.35   -26.03           30.93    12.34   -26.02     0.016
    7.71    11.43   -11.42            7.72    11.35   -11.38     0.097
   21.41    28.48   -19.35           21.38    28.44   -19.32     0.062
  -23.74   -33.54   -13.89          -23.76   -33.48   -13.92     0.075
  -43.94    -6.79   -21.25          -44.06    -6.80   -21.25     0.113
   -2.27    -4.00    32.75           -2.26    -4.00    32.75     0.004
    7.79    24.62     6.00            7.75    24.64     5.99     0.047
  -40.22    -0.24   -13.32          -40.30    -0.21   -13.26     0.100
   21.60    20.69    28.09           21.59    20.68    28.09     0.015
  -11.35   -25.30   -45.44          -11.35   -25.30   -45.43     0.007
   34.23    -0.39     2.76           34.33    -0.45     2.78     0.126
   25.31    17.72   -26.20           25.29    17.72   -26.21     0.022
   22.75    11.90   -28.72           22.74    11.90   -28.75     0.035
   26.28    25.68    -5.12           26.22    25.61    -5.12     0.097
  -43.89   -16.97   -21.63          -43.86   -16.96   -21.63     0.033
  -25.18   -28.71    -8.63          -25.22   -28.61    -8.71     0.132
   17.66    -0.09    36.93           17.59     0.00    37.88     0.956
  -10.01    27.24    22.46           -9.88    27.12    22.52     0.185
   -9.76   -20.38    -7.77           -9.75   -20.36    -7.78     0.020
    1.98   -22.43   -31.42            1.98   -22.43   -31.42     0.002
   30.33    18.56   -21.29           30.36    18.65   -21.45     0.185
    3.61   -10.17    23.00            3.63   -10.15    22.99     0.035
   28.50     5.06   -28.73           28.46     5.07   -28.70     0.054
   18.92     5.99    54.34           18.76     5.97    54.33     0.163
  -18.20   -24.61    -6.24          -18.20   -24.61    -6.19     0.052
   23.38     6.67   -29.54           23.37     6.66   -29.57     0.022
   -5.03     1.29    51.37           -4.98     1.29    51.38     0.052
   -4.52   -17.25   -38.28           -4.51   -17.25   -38.29     0.013
    1.62    -8.47   -25.16            1.63    -8.47   -25.18     0.013
   -3.80    13.39    11.63           -3.77    13.37    11.64     0.033
   -0.79     9.22   -16.49           -0.79     9.21   -16.49     0.013
  -41.03     4.31   -22.91          -41.03     4.31   -22.91     0.002
   12.04    29.93    15.30           11.99    30.05    15.32     0.126
  -22.59   -10.84    -3.63          -22.61   -10.84    -3.57     0.061
  -35.24     4.60   -11.56          -35.24     4.60   -11.56     0.000
   -1.37    -7.40    20.99           -1.34    -7.39    20.99     0.032
   25.12   -11.96   -14.66           25.09   -11.95   -14.65     0.026
   24.50    22.23    16.85           24.45    22.20    16.83     0.053
   36.43     8.77   -12.38           36.56     8.73   -12.42     0.151
   16.32    16.23    50.29           16.25    16.24    50.26     0.080
   -5.62    -1.81   -34.37           -5.66    -1.83   -34.36     0.045
  -41.30   -11.69   -10.48          -41.41   -11.70   -10.44     0.119
   -3.43    10.57    50.14           -3.58    10.59    50.02     0.199
  -15.43   -26.47   -46.15          -15.43   -26.42   -46.02     0.141
   20.23    10.69    38.70           20.27    10.70    38.71     0.045
   37.04     8.82   -10.19           37.00     8.83   -10.19     0.038
   17.63    -6.31    15.35           17.66    -6.40    15.37     0.097
  -21.32   -12.60    -3.20          -21.32   -12.60    -3.18     0.015
    0.97    -9.10    22.18            0.79    -9.30    22.18     0.267
   -1.50    -9.12    15.64           -1.47    -8.97    15.63     0.155
   36.68     1.84    -5.71           36.60     1.86    -5.71     0.087
   12.31    -6.39    48.45           12.40    -6.44    48.45     0.097
    9.58   -12.63    10.94            9.51   -12.51    10.91     0.139
   10.94    -8.43    22.16           10.97    -8.45    22.16     0.039
  -31.09   -31.38   -15.85          -31.05   -31.29   -15.91     0.119
   15.83     3.77    56.89           15.83     3.76    56.81     0.079
  -12.33    20.72    27.66          -12.39    20.67    27.63     0.085
  -37.94   -26.75   -33.23          -37.93   -26.75   -33.23     0.004
    3.53    15.78     1.46            3.52    15.80     1.45     0.017
   17.51     2.90    56.41           17.49     2.91    56.39     0.030
   15.20    -3.60    41.25           15.19    -3.59    41.25     0.013
   15.00    23.23    31.51           15.05    23.37    31.57     0.162
   14.45     9.55   -17.23           14.32     9.60   -17.27     0.148
   -5.51     1.05   -31.89           -5.45     1.12   -31.95     0.114
  -31.31     6.51   -40.46          -31.32     6.54   -40.49     0.048
    2.71   -14.86     4.14            2.68   -15.02     4.18     0.169
   24.42    10.71    23.97           24.40    10.71    23.96     0.020
   31.32    -3.70   -12.53           31.39    -3.79   -12.53     0.110
   12.20     5.99   -19.04           12.21     5.98   -19.04     0.008
    3.52    19.37    50.79            3.49    19.40    50.84     0.064
   -1.63    29.76    22.02           -1.58    29.90    22.00     0.155
   13.44    29.92     1.69           13.45    29.90     1.70     0.023
    0.23    19.68    12.33            0.22    19.68    12.32     0.009
   31.66    -3.75   -15.20           31.67    -3.75   -15.20     0.003
   13.11    -7.42    21.56           13.09    -7.37    21.55     0.056
   35.10     3.93   -17.17           35.16     3.93   -17.19     0.064
   19.46    30.91   -15.83           19.46    30.89   -15.83     0.023
   30.52    20.95   -17.39           30.57    20.99   -17.39     0.065
   16.08    28.08    22.32           16.09    28.11    22.33     0.035
  -28.20   -16.40    -3.95          -28.19   -16.38    -4.00     0.055
    7.04    22.14    42.40            7.06    22.07    42.40     0.073
    3.70    19.97    50.55            3.75    19.81    50.50     0.177
  -18.39   -35.54   -24.55          -18.40   -35.53   -24.55     0.016
   18.98    25.43   -25.89           19.01    25.45   -25.92     0.043
   18.07    14.27    45.42           18.05    14.27    45.42     0.021
   31.95    -0.32     7.88           31.89    -0.29     7.84     0.077
   13.47    27.62   -27.70           13.49    27.69   -27.76     0.095
   -0.12    -8.41    46.67           -0.14    -8.46    46.66     0.056
  -41.42   -17.92   -13.75          -41.46   -17.94   -13.73     0.049
   12.65    -1.01   -23.76           12.63    -1.02   -23.83     0.074
   -0.91   -22.27   -34.20           -0.92   -22.25   -34.19     0.032
   18.60     9.09    51.69           18.59     9.08    51.69     0.017
   13.94    -4.38    50.56           13.87    -4.34    50.56     0.082
   22.49     8.04    27.93           22.56     8.03    27.95     0.071
   -3.84    13.03    44.42           -3.82    13.03    44.41     0.028
   -6.07   -26.47    -9.07           -6.07   -26.48    -9.06     0.016
   -7.29     5.39    12.46           -7.29     5.39    12.46     0.007
  -29.20   -27.26    -7.70          -29.21   -27.27    -7.68     0.018
  -16.73     8.53   -13.09          -16.70     8.46   -13.12     0.077
   20.91    29.71   -14.83           20.96    29.78   -14.83     0.095
    8.58    23.02     2.83            8.55    23.02     2.82     0.027
   13.69    13.36    -9.03           13.64    13.44    -9.06     0.092
   17.52     2.98    56.76           17.36     3.06    56.60     0.232
    6.50   -15.49   -17.62            6.50   -15.48   -17.61     0.017
  -16.92   -11.25    -2.66          -16.91   -11.26    -2.62     0.049
   30.76    -4.11     1.82           30.87    -4.26     1.85     0.189
  -22.94    -8.30    -4.02          -22.98    -8.30    -3.96     0.064
   35.42     0.95   -13.52           35.33     1.00   -13.51     0.101
   13.76    16.73    55.48           13.74    16.71    55.46     0.025
  -39.76   -25.85   -20.11          -39.78   -25.86   -20.11     0.028
  -21.70   -19.88    -4.83          -21.70   -19.88    -4.82     0.002
   17.01    24.01    29.74           16.98    23.98    29.70     0.061
   16.32     9.38   -22.83           16.14     9.40   -22.94     0.213
   -3.44     3.50    33.76           -3.45     3.50    33.77     0.011
   30.85     3.32    10.05           30.82     3.36     9.98     0.089
    0.59    29.03    28.00            0.58    29.02    28.00     0.017
    5.25   -14.38     8.70            5.25   -14.35     8.69     0.029
   25.59     5.48   -30.21           25.61     5.50   -30.28     0.082
   -8.99     1.50     9.62           -9.01     1.50     9.62     0.016
    4.95    18.66    50.69            4.95    18.63    50.67     0.039
   19.83     0.70    26.49           20.08     0.59    26.57     0.286
  -28.76   -25.72    -6.85          -28.75   -25.70    -6.87     0.027
  -23.44     0.40    -7.04          -23.48     0.45    -7.00     0.076
   11.64   -11.52    10.07           11.73   -11.66    10.12     0.174
   -7.12     5.85   -30.57           -7.09     5.87   -30.59     0.042
    4.60    23.20    10.13            4.55    23.27    10.10     0.093
   31.64     4.10     9.60           31.65     4.09     9.62     0.024
  -39.50   -12.99   -42.37          -39.45   -12.98   -42.35     0.052
   -4.23   -24.35    -7.13           -4.22   -24.34    -7.19     0.071
  -17.10    -0.38   -49.99          -17.10    -0.38   -49.99     0.000
    4.31    16.77     2.15            4.37    16.69     2.18     0.098
  -11.05    15.37   -28.98          -11.10    15.23   -28.96     0.142
  -14.62   -24.80    -6.79          -14.62   -24.80    -6.80     0.012
   17.39     8.86   -26.47           17.48     8.90   -26.40     0.123
  -24.99   -34.75   -17.17          -24.99   -34.71   -17.17     0.047
  -28.91   -35.33   -27.11          -28.91   -35.34   -27.11     0.011
   -6.80   -25.49    -7.84           -6.79   -25.47    -7.87     0.035
   -4.85    -0.53    50.13           -4.79    -0.52    50.14     0.052
   -3.01    13.81    10.26           -2.93    13.74    10.31     0.118
   -3.54     3.88    36.17           -3.53     3.88    36.17     0.008
   36.00    11.46   -11.09           35.95    11.43   -11.09     0.055
  -31.30   -34.50   -30.18          -31.25   -34.44   -30.15     0.087
    1.26    -8.39    33.96            1.20    -8.45    33.96     0.088
  -19.06   -13.55   -52.19          -19.06   -13.57   -52.11     0.076
   15.84    28.07    22.34           15.86    28.15    22.36     0.084
    9.64    25.67    31.05            9.64    25.68    31.05     0.003
   -7.54   -14.78   -41.38           -7.57   -14.79   -41.36     0.042
  -17.00    15.33   -34.57          -17.00    15.29   -34.55     0.041
    4.34    -8.27   -23.10            4.37    -8.28   -23.14     0.058
   29.65    22.50   -14.23           29.76    22.58   -14.23     0.133
   19.87    -5.80    13.29           19.88    -5.80    13.29     0.007
   18.20    -0.45   -26.90           18.20    -0.45   -26.91     0.002
    9.67    27.76    24.57            9.70    27.64    24.54     0.122
    7.34    -7.63    58.07            7.35    -7.63    58.09     0.023
   -3.19    -5.52    57.87           -3.00    -5.42    58.11     0.325
   14.14    17.22   -10.94           14.22    17.21   -10.93     0.080
   15.13    -3.14    45.31           15.05    -3.07    45.31     0.104
   26.84    -6.50   -24.72           26.85    -6.44   -24.69     0.067
  -17.79   -33.41   -36.63          -17.80   -33.37   -36.61     0.042
  -28.18    13.75   -31.78          -28.19    13.78   -31.78     0.036
  -22.30   -24.69    -6.17          -22.30   -24.70    -6.16     0.018
  -29.98    12.13   -34.15          -29.92    12.01   -34.11     0.144
  -36.44   -30.63   -29.79          -36.45   -30.63   -29.79     0.003
   19.11    18.91    38.56           19.12    18.91    38.57     0.011
   11.02    10.09    57.42           11.01    10.08    57.36     0.058
   24.43     7.25    22.04           24.45     7.24    22.05     0.018
  -10.91    23.23    37.78          -10.90    23.23    37.77     0.016
   -3.59     7.81    43.47           -3.63     7.81    43.47     0.033
   -7.94   -27.29   -37.14           -7.87   -27.33   -37.17     0.089
    8.47    19.11    52.17            8.38    19.23    52.23     0.160
   29.67     8.97    13.80           29.72     8.96    13.83     0.061
   13.62     0.51   -24.13           13.62     0.51   -24.14     0.010
   20.49    -5.47    13.28           20.43    -5.41    13.25     0.084
  -39.61   -17.38   -36.55          -39.58   -17.40   -36.54     0.044
    5.11    16.00    57.10            5.12    15.95    57.01     0.108
    1.41   -14.55   -23.95            1.35   -14.53   -23.91     0.077
   16.84    11.97    55.21           16.90    12.03    55.22     0.084
   12.41    26.16   -29.56           12.37    26.20   -29.60     0.064
  -26.67     2.50   -46.42          -26.67     2.49   -46.41     0.012
   10.17    22.36    38.33           10.20    22.26    38.33     0.109
  -44.08    -6.38   -17.09          -44.13    -6.38   -17.09     0.050
   35.95     7.28   -13.89           35.89     7.29   -13.88     0.059
   19.03    -0.55    29.55           18.95    -0.51    29.54     0.094
    7.24    21.90    42.82            7.26    21.99    42.85     0.102
    6.26   -10.12    56.04            6.30   -10.20    56.03     0.088
   11.72    22.57    40.91           11.78    22.34    40.87     0.241
  -28.45   -29.91   -40.57          -28.43   -29.86   -40.55     0.056
   12.09    21.07    -2.68           12.18    21.09    -2.65     0.097
   -1.35   -24.37   -32.81           -1.33   -24.41   -32.85     0.064
   36.40     1.82   -10.96           36.35     1.85   -10.95     0.057
   12.70    -6.55    29.56           12.75    -6.68    29.58     0.146
   16.08    10.93   -21.96           16.13    10.93   -21.94     0.053
   -8.59    23.05    40.17           -8.62    23.06    40.21     0.044
   16.28    -1.31    44.67           16.31    -1.33    44.67     0.035
    3.13   -23.84   -15.18            3.16   -23.85   -15.18     0.032
   33.19    14.67    -2.72           33.18    14.66    -2.72     0.018
  -32.76   -29.88   -15.16          -32.73   -29.84   -15.20     0.061
   27.71    21.92   -20.55           27.79    22.02   -20.62     0.150
    3.75   -14.89     4.72            3.77   -14.73     4.71     0.156
   -0.05   -12.92     8.36           -0.03   -12.87     8.35     0.058
    0.88    -9.24    20.77            0.79    -9.38    20.80     0.168
   15.54    14.67    53.62           15.43    14.65    53.60     0.113
   16.21   -14.60    -0.48           16.21   -14.59    -0.49     0.014
  -11.79    20.95    22.85          -11.79    20.95    22.86     0.002
  -23.76    11.77   -21.10          -23.75    11.81   -21.04     0.073
  -38.02   -17.59    -7.43          -38.02   -17.59    -7.39     0.034
   -8.86   -22.82    -8.21           -8.86   -22.82    -8.22     0.016
  -17.27   -34.64   -20.25          -17.26   -34.67   -20.25     0.028
   16.20    27.49    24.38           16.21    27.50    24.39     0.011
