150 PA5-K-Unknown-Output.txt 6
   54.0579   153.7057   -60.6683     9.1521   114.6462   -43.4516
  -11.19     6.86    47.56          -11.19     6.86    47.56     0.003
  -32.14     4.11   -44.83          -32.14     4.11   -44.83     0.001
    9.90    10.33    67.56            9.90    10.33    67.58     0.018
   31.81    11.01   -16.30           31.80    11.01   -16.30     0.018
  -18.18   -30.23   -37.57          -18.18   -30.23   -37.57     0.001
    3.49    -1.15    58.39            3.49    -1.14    58.39     0.005
    5.95    14.22    -2.87            5.99    14.22    -2.85     0.043
    9.92    18.83    -8.82            9.95    18.81    -8.80     0.045
   18.51    21.04    10.43           18.51    21.02    10.43     0.015
   -6.54    -0.20    18.08           -6.53    -0.18    18.08     0.022
   31.77    15.25     3.30           31.75    15.24     3.29     0.027
    6.85   -13.43    -5.12            6.84   -13.45    -5.11     0.018
   -9.50     6.36    21.45           -9.46     6.34    21.47     0.048
  -19.38     0.89   -12.34          -19.38     0.89   -12.34     0.004
   26.38     1.52    16.67           26.37     1.53    16.66     0.010
   34.60    -1.14   -15.19           34.61    -1.15   -15.20     0.015
  -21.55   -11.41    -8.56          -21.55   -11.40    -8.55     0.008
   16.75    12.63    67.18           16.76    12.63    67.19     0.018
   -5.40    10.48    15.90           -5.36    10.45    15.91     0.050
   25.99    19.09   -16.46           25.98    19.08   -16.46     0.017
   14.43    20.49    18.87           14.44    20.46    18.87     0.031
   24.81    15.34   -24.82           24.80    15.33   -24.81     0.019
   25.67    -2.04    14.66           25.67    -2.04    14.66     0.001
    3.10    11.48     3.36            3.12    11.45     3.36     0.027
  -30.17    -9.89    -9.45          -30.17    -9.89    -9.44     0.010
    1.21    18.40    43.43            1.06    18.19    43.29     0.289
   35.29     2.17   -17.52           35.27     2.16   -17.51     0.026
   -1.69     1.04    45.47           -1.67     1.04    45.47     0.023
  -22.05   -11.43   -53.50          -22.05   -11.44   -53.51     0.005
   12.28    -4.04    30.76           12.28    -4.06    30.76     0.018
   -7.87     0.31   -43.87           -7.88     0.31   -43.86     0.013
  -12.16   -20.36   -12.73          -11.82   -20.18   -12.84     0.395
   34.57    -1.34    -3.13           34.58    -1.35    -3.13     0.005
  -27.61     2.22   -12.19          -27.60     2.22   -12.18     0.012
  -32.38     6.74   -42.00          -32.38     6.75   -42.00     0.008
  -13.52   -15.58   -51.03          -13.52   -15.58   -51.03     0.003
   27.97    18.88     5.57           27.96    18.88     5.57     0.003
  -10.16    12.91    38.83          -10.15    12.89    38.83     0.020
    9.23    -1.68   -22.11            9.22    -1.69   -22.10     0.012
    2.14   -13.94   -31.56            2.11   -13.95   -31.54     0.032
  -10.63     5.10    25.86          -10.56     5.12    25.87     0.070
  -28.63    -0.28   -12.17          -28.63    -0.28   -12.17     0.003
  -21.93   -20.74   -10.79          -21.93   -20.74   -10.79     0.002
  -10.11   -27.76   -28.05          -10.11   -27.75   -28.05     0.008
  -31.51   -25.45   -18.84          -31.51   -25.46   -18.84     0.009
  -29.55   -28.78   -35.99          -29.55   -28.79   -35.99     0.008
   -9.82     7.36    24.47           -9.76     7.33    24.48     0.065
    4.93    -1.68    67.15            4.93    -1.67    67.15     0.007
  -29.46   -26.54   -18.90          -29.47   -26.54   -18.90     0.004
   -1.12     0.18    44.82           -1.11     0.18    44.82     0.011
  -15.38    -6.70    -4.90          -15.38    -6.70    -4.90     0.005
    4.52   -10.60   -27.54            4.51   -10.61   -27.53     0.023
   -3.20    -1.01    31.83           -3.18    -1.00    31.83     0.019
    8.15    12.46    -6.98            8.19    12.44    -6.96     0.042
   30.01    18.22    -7.13           30.00    18.22    -7.13     0.004
  -21.33    -6.68   -52.99          -21.33    -6.68   -52.99     0.009
  -28.76   -20.77   -12.89          -28.76   -20.77   -12.89     0.000
