150 PA5-G-Unknown-Output.txt 6
  -95.1897   159.3554   -79.7713   -79.0865   124.2633   142.7077
  -12.86   -11.71    -3.14          -12.85   -11.71    -3.14     0.011
   -4.44   -18.69   -30.01           -4.49   -18.67   -30.00     0.051
   32.47     1.88    11.96           32.45     1.87    11.94     0.028
   10.81    21.73    46.11           10.81    21.74    46.11     0.016
    3.08   -14.44   -12.72            3.07   -14.40   -12.71     0.046
   14.43    -2.20    28.94           14.43    -2.18    28.93     0.023
   -7.23   -11.24     6.13           -7.23   -11.25     6.13     0.005
    1.62    21.55    35.78            1.58    21.66    35.77     0.116
   -1.98    12.26    39.62           -1.95    12.25    39.62     0.030
   10.99    -7.26    17.95           10.94    -7.21    17.92     0.075
  -40.55    -6.41   -14.62          -40.54    -6.38   -14.68     0.061
   22.33    -3.46   -14.38           22.34    -3.47   -14.38     0.008
    2.14    16.10    12.06            2.11    16.13    12.05     0.041
  -10.78     4.54   -30.81          -10.78     4.53   -30.81     0.002
   -3.75    -8.29   -33.88           -3.79    -8.29   -33.87     0.040
   16.50     2.55    42.77           16.55     2.50    42.78     0.072
   -5.83   -12.94     0.67           -5.84   -12.95     0.67     0.011
  -11.34     4.43   -36.55          -11.35     4.42   -36.54     0.011
   10.95    -2.22    37.78           10.96    -2.25    37.79     0.033
  -40.73    -3.75   -28.56          -40.79    -3.73   -28.56     0.061
  -36.99   -25.91   -24.13          -36.99   -25.91   -24.13     0.007
    3.31   -12.33     4.98            3.32   -12.28     4.98     0.044
   18.37    23.08   -12.97           18.37    23.05   -12.96     0.032
   21.66    -5.10    -4.12           21.65    -5.18    -4.17     0.094
   -5.45     6.95   -20.89           -5.45     7.00   -20.92     0.059
    1.67    -5.22    60.99            1.67    -5.23    61.00     0.015
    4.27    22.35    13.10            4.25    22.35    13.09     0.022
   13.23    23.03    -8.03           13.15    23.04    -8.10     0.101
  -11.76   -17.09   -14.02          -11.79   -17.01   -14.06     0.085
   14.96    24.62    60.32           14.95    24.62    60.30     0.015
   27.60    14.86    17.49           27.60    14.87    17.49     0.007
  -12.69   -23.31   -15.30          -12.71   -23.34   -15.35     0.070
   -0.36    11.39    53.09           -0.47    11.53    52.95     0.226
   32.60    10.64    -4.79           32.61    10.64    -4.79     0.017
   35.27    -2.03     3.20           35.28    -2.04     3.20     0.011
  -16.47     6.96   -37.58          -16.47     6.95   -37.58     0.010
   32.38    13.77     8.42           32.38    13.78     8.42     0.002
    9.01    22.84    32.80            9.01    22.88    32.80     0.044
   -1.10    -8.26    37.93           -1.09    -8.25    37.93     0.010
   -5.38   -13.86   -36.48           -5.37   -13.85   -36.48     0.019
    9.83    21.06    -3.34            9.78    21.06    -3.36     0.052
   24.73    17.58   -21.41           25.40    17.00   -20.68     1.144
   15.44    13.69   -10.78           15.35    13.67   -10.84     0.111
  -41.69   -16.33   -27.94          -41.76   -16.34   -27.95     0.076
  -32.35   -27.40   -41.01          -32.35   -27.41   -41.01     0.012
   24.14     8.64    25.01           24.16     8.63    25.02     0.022
  -36.32   -12.57   -45.89          -36.36   -12.57   -45.92     0.051
   -0.81    -8.26    39.02           -0.81    -8.25    39.02     0.014
   16.91    -2.99   -20.12           16.86    -2.98   -20.28     0.166
    0.12    -8.30    35.31            0.12    -8.31    35.31     0.007
  -18.87     5.72   -44.04          -18.92     5.73   -44.09     0.073
   23.61    14.24   -24.79           23.67    14.25   -24.84     0.074
  -26.67    -5.88   -50.52          -26.69    -5.86   -50.55     0.037
   18.30    25.71    -5.09           18.30    25.74    -5.09     0.030
   19.68    21.94    27.27           19.69    21.91    27.27     0.024
   21.17     8.41    34.99           21.23     8.38    35.01     0.071
   21.90    12.43   -28.03           21.94    12.49   -28.07     0.081
  -23.43     7.18   -24.07          -23.46     7.15   -24.07     0.039
   -0.44   -12.73     3.49           -0.58   -12.73     3.56     0.155
   -8.00    -2.34   -45.91           -8.01    -2.35   -45.90     0.016
   -5.56    -9.21   -37.22           -5.62    -9.19   -37.19     0.065
   -4.86     4.24    13.23           -4.84     4.23    13.22     0.020
    8.93    24.29    22.53            8.95    24.35    22.54     0.058
    4.86    14.17    63.58            4.91    14.13    63.50     0.095
  -30.21     7.34   -27.15          -30.20     7.33   -27.15     0.010
   22.63    -8.13     8.20           22.65    -8.15     8.19     0.029
   18.15    21.90    23.52           18.15    21.88    23.52     0.012
  -24.21   -31.17   -35.57          -24.22   -31.20   -35.58     0.031
  -13.28   -15.36   -51.32          -13.30   -15.38   -51.35     0.045
  -19.57   -26.68   -44.30          -19.57   -26.69   -44.30     0.004
    3.51    -8.87    26.80            3.51    -8.83    26.78     0.043
   33.63     7.35    10.84           33.61     7.34    10.82     0.033
   -0.28    17.49    36.45           -0.27    17.48    36.45     0.007
  -22.59   -31.71   -35.03          -22.60   -31.69   -35.04     0.023
  -11.53   -27.57   -39.79          -11.53   -27.57   -39.79     0.001
    6.50     8.44   -15.16            6.49     8.52   -15.24     0.113
   17.04    -3.78    21.26           17.03    -3.74    21.24     0.053
  -41.31   -17.56   -24.17          -41.33   -17.57   -24.16     0.020
   -1.59    14.12    30.64           -1.55    14.09    30.65     0.048
   17.70    -6.95    12.71           17.69    -6.89    12.69     0.068
   -5.63   -21.81   -27.30           -5.70   -21.77   -27.32     0.082
  -20.31     4.92   -44.76          -20.32     4.91   -44.74     0.019
   35.37     0.70    10.30           35.39     0.70    10.31     0.020
   13.83    21.25    41.60           13.83    21.26    41.61     0.012
  -36.34   -20.68   -15.61          -35.89   -20.96   -15.26     0.639
    8.30    -2.63    45.04            8.33    -2.68    45.04     0.052
   20.34    14.36    56.48           20.42    14.36    56.51     0.078
   -1.90    12.02    33.60           -1.92    11.97    33.56     0.060
   -6.86   -11.29   -46.32           -6.93   -11.27   -46.32     0.076
   27.36    21.98    -9.34           27.40    22.04    -9.36     0.071
    9.25    24.54    20.37            9.26    24.59    20.38     0.043
